country,date,gdp_real,gdp_yoy,gdp_qoq_ann,ip,ip_yoy,cpi_yoy,unemp,rate3m,epu_adjusted,nb_articles,rec_q
DEU,1991-01-01,517761.7,,,76.28201666666666,6.526222063922238,2.842504635681024,5.233333333333333,9.173333333333334,125.11440800000001,119.0,1.0
DEU,1991-04-01,515275.6,,-1.9068627533719518,75.30705999999999,4.71837115804199,3.298892037196422,5.333333333333333,9.106666666666667,125.34113366666668,116.0,1.0
DEU,1991-07-01,514471.3,,-0.6229045553693524,73.96229333333333,0.32739566912806845,4.514196234327769,5.6000000000000005,9.243333333333334,124.05423466666666,108.0,1.0
DEU,1991-10-01,521856.4,,5.866717129900789,75.10534333333334,0.7349343412598556,5.50460387141547,5.8999999999999995,9.463333333333333,138.60484966666667,145.66666666666666,1.0
DEU,1992-01-01,529040.8,2.178434596456258,5.621567819779094,76.48373666666667,0.2679587657607267,5.910529362475692,6.1000000000000005,9.613333333333332,114.52624266666665,136.33333333333334,1.0
DEU,1992-04-01,525750.3,2.032834467613065,-2.4647837966184416,74.60105666666666,-0.8936380713580903,6.0945817161776645,6.3999999999999995,9.763333333333334,117.350013,115.33333333333333,1.0
DEU,1992-07-01,524507.2,1.9507210606305891,-0.9424231315194098,72.24770666666667,-2.3121955466315938,4.957503469259472,6.766666666666667,9.72,118.42659133333332,110.0,1.0
DEU,1992-10-01,523044.8,0.2277254815692631,-1.1106008034991066,70.66761,-5.899745035552098,3.3364368958822332,7.1000000000000005,8.973333333333331,120.85428,142.33333333333334,1.0
DEU,1993-01-01,518895.0,-1.9177726935238337,-3.1360024044283175,68.04530666666666,-11.019072913968493,4.665876317655049,7.3999999999999995,8.323333333333332,168.79876666666667,113.66666666666667,1.0
DEU,1993-04-01,518968.2,-1.2899849985820278,0.05643954236076443,67.10396666666666,-10.044134193624794,4.387309415448722,7.6000000000000005,7.676666666666666,108.58533299999999,144.0,1.0
DEU,1993-07-01,522039.4,-0.4704987843827335,2.3882544494315594,67.03672999999999,-7.210950315639304,4.543405687477198,7.8999999999999995,6.826666666666667,101.59990466666666,113.0,1.0
DEU,1993-10-01,521600.7,-0.27609489665129106,-0.3357197270138279,67.64187333333332,-4.262646889661374,4.305132787788057,8.200000000000001,6.353333333333334,129.611478,137.66666666666666,0.0
DEU,1994-01-01,528967.7,1.9411827055569875,5.770352815023161,68.24702333333333,0.3049156548886674,2.9722685720639626,8.466666666666667,5.88,118.504819,118.33333333333333,0.0
DEU,1994-04-01,531892.6,2.4904030728664983,2.230192263620845,69.15474333333333,3.058295703824772,2.772983855468714,8.533333333333333,5.286666666666666,124.40460233333333,108.66666666666667,0.0
DEU,1994-07-01,535036.9,2.4897546047290664,2.3856631866973954,69.42369333333333,3.5924517769945505,2.581759475782889,8.433333333333334,5.013333333333333,131.20376,135.33333333333334,0.0
DEU,1994-10-01,540959.8,3.7114789148097405,4.502103151398096,71.67618333333333,5.967349123828783,2.4505710597360655,8.266666666666667,5.276666666666666,100.565183,88.66666666666667,1.0
DEU,1995-01-01,538821.1,1.862760240370065,-1.5720578708336985,70.80208,3.7444738170205216,2.080451240565595,8.133333333333333,5.11,119.43129666666668,93.0,1.0
DEU,1995-04-01,543135.2,2.113697389284974,3.241290081346193,71.00379666666667,2.676132561293576,1.7286838266991882,8.1,4.6000000000000005,87.60248433333334,111.33333333333333,1.0
